Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
10/13/2017,Completed,10/13/2017,17-06884706,Graffiti Removal,Metal - Painted,Sign,5335 N KEDZIE AVE,60625,1154080.11517149,1935276.39997145,40,17,13,,41.978555255358465,-87.70860364766446,"(41.978555255358465, -87.70860364766446)"
10/13/2017,Completed,10/13/2017,17-06884776,Graffiti Removal,Metal - Painted,Rear,7346 N CLAREMONT AVE,60645,1159380.68196952,1948648.30283144,50,24,2,,42.015461864138125,-87.68902078777533,"(42.015461864138125, -87.68902078777533)"
10/13/2017,Completed,10/13/2017,17-06885174,Graffiti Removal,Metal - Painted,Traffic Control Box,7548 N CLARK ST,60626,1162872.64888055,1950061.82012294,49,24,1,19,42.019238447179696,-87.67640499665174,"(42.019238447179696, -87.67640499665174)"
10/13/2017,Completed,10/13/2017,17-06885181,Graffiti Removal,Metal - Painted,Dumpster,7111 N CLARK ST,60626,1163308.30010878,1947487.29379294,49,24,1,24,42.01179236027213,-87.67435390401977,"(42.01179236027213, -87.67435390401977)"
10/13/2017,Completed,10/13/2017,17-06885357,Graffiti Removal,Metal - Painted,Dumpster,1447 W ARTHUR AVE,60626,1165349.58698318,1943275.90746599,49,24,1,,41.99983452600116,-87.6674434695759,"(41.99983452600116, -87.6674434695759)"
10/13/2017,Completed,10/13/2017,17-06885378,Graffiti Removal,Metal - Painted,Dumpster,6510 N SHERIDAN RD,60626,1167074.74467866,1943506.24470565,49,24,1,54,42.00044349612888,-87.66085935090256,"(42.00044349612888, -87.66085935090256)"
10/13/2017,Completed,10/13/2017,17-06885434,Graffiti Removal,Metal - Painted,Front,6510 N SHERIDAN RD,60626,1167074.74467866,1943506.24470565,49,24,1,54,42.00044349612888,-87.66085935090256,"(42.00044349612888, -87.66085935090256)"
10/13/2017,Completed,10/13/2017,17-06885618,Graffiti Removal,Metal - Unpainted,Garage,10952 S GREEN ST,60643,1172599.43019339,1832213.59910341,34,22,75,,41.69442031947614,-87.64380732403745,"(41.69442031947614, -87.64380732403745)"
10/13/2017,Completed,10/13/2017,17-06885729,Graffiti Removal,Brick - Unpainted,Viaduct,4900 S ASHLAND AVE,60609,1166501.8994018,1872227.89792027,20,9,61,,41.804948673338465,-87.66501307428665,"(41.804948673338465, -87.66501307428665)"
10/13/2017,Completed,10/13/2017,17-06885849,Graffiti Removal,Metal - Unpainted,Fence,1523 W 51ST ST,60609,1166954.0956023,1870910.10269301,16,9,61,,41.80122493157959,-87.66340614772238,"(41.80122493157959, -87.66340614772238)"
10/13/2017,Completed,10/13/2017,17-06886020,Graffiti Removal,Wood - Unpainted,Side,1525 W 51ST ST,60609,1166932.7956023,1870909.60269301,16,9,61,,41.80122424457719,-87.66349707127095,"(41.80122424457719, -87.66349707127095)"
10/13/2017,Completed,10/13/2017,17-06886053,Graffiti Removal,Wood - Unpainted,Fence,1359 W 51ST ST,60609,1168059.22407253,1870938.89062119,20,9,61,,41.801272912339925,-87.65985685755908,"(41.801272912339925, -87.65985685755908)"
10/13/2017,Completed,10/13/2017,17-06886103,Graffiti Removal,Brick - Unpainted,Side,2738 N CALIFORNIA AVE,60647,1157240.73099118,1918078.35997052,32,14,22,,41.93143786626347,-87.69775179382003,"(41.93143786626347, -87.69775179382003)"
10/13/2017,Completed,10/13/2017,17-06886117,Graffiti Removal,Metal - Unpainted,Pole,1351 W 51ST ST,60609,1168098.72407253,1870939.99062119,20,9,61,,41.80127857853464,-87.65951699719224,"(41.80127857853464, -87.65951699719224)"
10/13/2017,Completed,10/13/2017,17-06886173,Graffiti Removal,Metal - Unpainted,Door,2514 S HALSTED ST,60608,1171389.53868664,1887657.49753236,11,9,60,,41.84661013390458,-87.64661569979438,"(41.84661013390458, -87.64661569979438)"
10/13/2017,Completed,10/13/2017,17-06886272,Graffiti Removal,Metal - Unpainted,Garage,3141 S LOWE AVE,60616,1172473.79458756,1884072.02723122,11,9,60,,41.83687090845253,-87.64244611203969,"(41.83687090845253, -87.64244611203969)"
10/13/2017,Completed,10/13/2017,17-06886415,Graffiti Removal,Metal - Unpainted,Garage,922 W 29TH ST,60608,1170509.34076729,1885504.74579814,11,9,60,,41.841378807726365,-87.64991079842817,"(41.841378807726365, -87.64991079842817)"
10/13/2017,Completed,10/13/2017,17-06886475,Graffiti Removal,Metal - Unpainted,Door,1550 W FULTON ST,60607,1165992.86889484,1901946.008718,27,12,28,,41.88662592011112,-87.66628606481194,"(41.88662592011112, -87.66628606481194)"
10/13/2017,Completed,10/13/2017,17-06886549,Graffiti Removal,Metal - Unpainted,Door,1560 W FULLER ST,60608,1166772.78999223,1885953.47249655,11,9,60,,41.84268200685391,-87.66342892925678,"(41.84268200685391, -87.66342892925678)"
10/13/2017,Completed,10/13/2017,17-06886574,Graffiti Removal,Glass,Front,3310 S HALSTED ST,60608,1171507.27441189,1882994.21002191,11,9,60,,41.834419483785084,-87.64634083511383,"(41.834419483785084, -87.64634083511383)"
10/13/2017,Completed,10/13/2017,17-06886632,Graffiti Removal,Metal - Painted,Newspaper Box,933 W DIVERSEY PKWY,60614,1169452.19998166,1918785.69989337,43,19,7,17,41.93254842017704,-87.65269758731947,"(41.93254842017704, -87.65269758731947)"
10/13/2017,Completed,10/13/2017,17-06886641,Graffiti Removal,Metal - Painted,Newspaper Box,933 W DIVERSEY PKWY,60614,1169452.19998166,1918785.69989337,43,19,7,17,41.93254842017704,-87.65269758731947,"(41.93254842017704, -87.65269758731947)"
10/13/2017,Completed,10/13/2017,17-06886799,Graffiti Removal,Metal - Painted,Dumpster,933 W DIVERSEY PKWY,60614,1169452.19998166,1918785.69989337,43,19,7,17,41.93254842017704,-87.65269758731947,"(41.93254842017704, -87.65269758731947)"
10/13/2017,Completed,10/13/2017,17-06886870,Graffiti Removal,Metal - Painted,Dumpster,933 W DIVERSEY PKWY,60614,1169452.19998166,1918785.69989337,43,19,7,17,41.93254842017704,-87.65269758731947,"(41.93254842017704, -87.65269758731947)"
